,Founded,Company,Sector,Headquarters,Investors Name,Stage,Amount,Industry Vertical,Year,numberofinvestors
2228,2012,DeHaat,Information Technology & Services,gurugram,"Sofina, Lightrock India, Temasek",seriesd,115000000,Other,2012,1
2229,2020,Zolve,Financial Services,bangalore,DST Global,seriesa,40000000,Other,2020,1
2230,2021,SportZchain,sports,mumbai,"Darq Capital, Jagadeesh Atukuri",pre-seed,400000,Other,2021,1
2231,2018,Hypto,Tech startup,chennai,Stellaris Venture Partners,seed,3000000,Other,2018,1
2232,2016,CHUPPS,Foootwear,mumbai,Venture Catalysts,pre-seriesa,1100000,Other,2016,1
2233,2019,Zenduty,Computer Software,bangalore,StartupXseed Ventures,pre-seriesa,1900000,Other,2019,1
2234,2016,Acko,Insurance,bangalore,"General Atlantic, Multiples",seriesd,255000000,Other,2016,1
2235,2015,LoveLocal,Retail,mumbai,Vulcan Capital,pre-seriesb,18000000,Other,2015,1
2236,2015,SupplyNote,Food & Beverages,noida,Venture Catalysts,pre-seriesa,1200000,Other,2015,1
2237,2017,Cloudphysician,Hospital & Health Care,bangalore,Elevar Equity,pre-seriesa,4000000,Other,2017,1
2238,2018,Wiggles.in,Veterinary,pune,Anthill Ventures,pre-seriesa,5500000,Other,2018,1
2239,2017,Fi,Financial Services,bangalore,"Oikocredit, Nomura, The Bill & Melinda Gates Foundation",seriesa2,15000000,Other,2017,1
2240,2018,Vanity Wagon,Consumer Goods,new delhi,Inflection Point Ventures,pre-seriesa,700000,Other,2018,1
2241,2017,Fi,Hospital & Health Care,bangalore,"Moore Strategic Ventures, BEENEXT",seriesc,48000000,Other,2017,1
2242,2020,Mentza,E-learning,mumbai,Inflection Point Ventures,seed,400000,Other,2020,1
2243,2018,ConnectedH,Hospital & Health Care,gurugram,"Kalaari Capital, Incubate Fund India",seed,2300000,Other,2018,1
2244,2017,Cred,FinTech,chennai,"Sequoia Capital, Lightspeed, TVS Capital Funds",seriesa,90000000,Other,2017,1
2245,2011,Vedantu,E-learning,bangalore,ABC World Asia,seriese,100000000,Other,2011,1
2246,2011,Exotel,Telecommunications,bangalore,"IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund",seriesc,35000000,Other,2011,1
2247,2020,Fantasy Akhada,sports,gurugram,Prime Securities Limited,seriesa,2000000,Other,2020,1
2248,2016,Cusmat,Computer Software,hyderabad,We Founder Circle,pre-seriesa,100000,Other,2016,1
2249,2021,Coinshift,Blockchain,chandigarh,"Sequoia Capital, Sandeep Nailwal",seed,2500000,Other,2021,1
2250,2021,Fi,Financial Services,hyderabad,"Old Fashion Research, Nothing Research, Tenzor capital",seed,400000,Other,2021,1
2251,2020,Kolo,Construction,bangalore,Better Capital,pre-seed,550000,Other,2020,1
2252,2017,Chqbook,FinTech,gurugram,"Aavishkaar Capital, Rajiv Dadlani Group",pre-seriesb,5000000,Other,2017,1
2253,2019,Rulezero,Financial Services,bangalore,The Treasury,seed,2500000,Other,2019,1
2254,2019,Karbon Card,FinTech,bangalore,"Ramp, Rainfall Ventures, Roka Works, Y Combinator",pre-seriesa,12000000,Other,2019,1
2255,2015,ePayLater,Financial Services,mumbai,"Responsibility, Blue Ashva Capital, Pravega Ventures",seriesb,10000000,Other,2015,1
2256,2016,Fi,"Health, Wellness & Fitness",pune,"Dream Capital, Elysian Park Ventures",seriesa,11000000,Other,2016,1
2257,2014,Medikabazaar,Healthtech,mumbai,"CDC Group, Creaegis",seriesc,75000000,Other,2014,1
2258,2020,Akudo,Financial Services,bangalore,"Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",seed,4200000,Other,2020,1
2259,2018,88academics,Education,new delhi,Aarin Capital,pre-seriesa,3000000,Other,2018,1
2260,2018,Sanfe,"Health, Wellness & Fitness",new delhi,"LetsVenture, Ajay Garg, Tarun Sharma",seriesa,1000000,Other,2018,1
2261,2020,PredictiVu,Management Consulting,gurugram,Kunal Sarkar,pre-seed,1500000,Other,2020,1
2262,2015,Bijnis,B2B startup,new delhi,Westbridge Capital,seriesb,30000000,Other,2015,1
2263,2017,Manch,Information Technology & Services,bangalore,Bharat Inclusion,pre-seriesa,1000000,Other,2017,1
2264,2019,Glamyo Health,Hospital & Health Care,new delhi,Ananta Capital,seriesa,3000000,Other,2019,1
2265,2020,CashBook,FinTech,gurugram,"JAM, Better Tomorrow Ventures",seed,2300000,Other,2020,1
2266,2016,The Money Club,Financial Services,noida,"SOSV, Venture Catalysts",pre-seriesa,1700000,Other,2016,1
2267,2016,SuperZop,Retail,mumbai,Incofinâ€™s India Progress Fund,seriesa,4000000,Other,2016,1
2268,2017,Zypp Electric,Logistics & Supply Chain,gurugram,"9Unicorns, Anthill Ventures",seriesa,7000000,Other,2017,1
2269,2018,VRO Hospitality,Hospitality,bangalore,CreedCap Asia Advisors,seriesa,3000000,Other,2018,1
2270,2015,Leena AI,Computer Software,gurugram,Bessemer Venture Partners,seriesb,30000000,Other,2015,1
2271,2015,CARS24,Automotive,gurugram,"DST Global, Falcon Edge, SoftBank Vision Fund 2",seriesf,450000000,Other,2015,1
2272,2019,Klub,Financial Services,bangalore,Trifecta Capital,debt,2000000,Other,2019,1
2273,2020,Bluepad,Online Media,bangalore,"Titan Capital, AngelList's syndicate",pre-seed,200000,Other,2020,1
2274,2019,FloBiz,Information Technology & Services,bangalore,Sequoia Capital India,seriesb,31000000,Other,2019,1
2275,2016,Tummoc,Mobility,bangalore,"Vineet Singh, Krishna D, Deependra Bisht, Alan Aim",seed,540000,Other,2016,1
2276,2019,Aerchain,Computer Software,bangalore,"Season Two Ventures, IndiaMart",pre-seriesa,3000000,Other,2019,1
2277,2020,CuriousJr,E-learning,gurugram,"WaterBridge Ventures, Enzia Ventures",seed,1000000,Other,2020,1
2278,2008,Wow! Momo,Food & Beverages,kolkata,Tree Line Investment Management,seriesc,15000000,Other,2008,1
2279,2015,ZestMoney,Financial Services,bangalore,Zip Co,seriesc,50000000,Other,2015,1
2280,2020,FrontRow,E-learning,bangalore,"Eight Roads Ventures, GSV",seriesa,14000000,Other,2020,1
2281,2020,Cred,FinTech,bangalore,"Kunal Shah, Krishna Kumar",pre-seed,600000,Other,2020,1
2282,2018,Endimension,Healtcare,mumbai,Inflection Point Ventures,seed,300000,Other,2018,1
2283,2020,BeepKart,Automotive,bangalore,"Stellaris Venture Partners, Chiratae Ventures",seed,3000000,Other,2020,1
2284,2020,Lio,Computer Software,pune,"Lightspeed, Sequioa",seed,5000000,Other,2020,1
2285,2018,TravClan,B2B Travel,new delhi,TheVentures,pre-seriesa,2200000,Other,2018,1
2286,2021,WickedGud,Food & Beverages,mumbai,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",pre-seed,340000,Other,2021,1
2287,2014,BetterPlace,Information Technology & Services,bangalore,"Jungle Ventures, CX Partners",seriesc,24000000,Other,2014,1
2288,2020,Buddy,Computer Software,hyderabad,Stellaris Venture Partners,seed,2000000,Other,2020,1
2289,2019,Gobbly,Retail,gurugram,"Anicut Angel Fund, Sauce.VC",pre-seriesa,900000,Other,2019,1
2290,2019,HexaHealth,Healthtech,mumbai,"Omidyar Network India, Chiratae Ventures",seed,4500000,Other,2019,1
2291,2017,Eupheus,E-learning,new delhi,Lightrock India,seriesc,10000000,Other,2017,1
2292,2019,Anar,Information Technology & Services,mumbai,"Elevation Capital, Accel India",seed,6200000,Other,2019,1
2293,2019,Shadez,Consumer Services,mumbai,Inflection Point Ventures,pre-seriesa,200000,Other,2019,1
2294,2016,Vahan,Information Technology & Services,bangalore,Khosla Ventures,seriesa,8000000,Other,2016,1
2295,2021,Artium Academy,Music,mumbai,"Sonu Nigam, Whiteboard Capital",seed,750000,Other,2021,1
2296,2020,Awon GameZ,Gaming,noida,Aditya Duggar,seed,2000000,Other,2020,1
2297,2019,Ayu Health,"Health, Wellness & Fitness",bangalore,"Vertex Ventures, Stellaris Venture Partners",seriesa,6300000,Other,2019,1
2298,2019,Apna,Recruitment,bangalore,Tiger Global,seriesc,100000000,Other,2019,1
2299,2017,BharatAgri,AgriTech,bangalore,"Omnivore, India Quotient",seriesa,6500000,Other,2017,1
2300,2018,Flatheads,Apparel & Fashion,bangalore,"We Founder Circle, Dexter Angels",pre-seriesa,1000000,Other,2018,1
2301,2020,Paytail,Financial Services,new delhi,Cholamandalam,seed,1500000,Other,2020,1
